codigo,especificacao_da_receita,receita_orcada,realizada_no_mes,pct_realizada_mes_sobre_o_orcado,realizada_ate_o_mes
13250201,Receita de Remuneração de Depósitos de Poupança,0,0,0,0.00
13260000,REMUNERAÇÃO DE DEPÓSITOS ESPECIAIS,0,16275.52,0,59640.43
13260001,Convênio PMSP/SDTS - Plansine - FAT,0.00,0,0,0
13260002,Convênio PMSP/SDTS- PlanTeQ/2004 FAT,0,0,0,0
13260003,Convênio MTE/SPPE/CODEFAT,0,16275.52,0,59640.43
13270000,REMUNERAÇÃO DE SALDOS DE RECURSOS NÃO DESEMBOLSADOS,0,0,0,0.00
13290000,OUTRAS RECEITAS DE VALORES MOBILIÁRIOS,540683300,2877546.09,3.86,52875023.28
13290100,FUNDOS DE INVESTIMENTOS RENDA FIXA,530725300,19384532.52,3.65,48985166.14
13290101,PMSP,"497.366,300,00",15407330.9,3.1,43408817.11
13290102,Câmara Municipal o São Paulo,6297000,0,0,0
13290103,Tribunal de Contas do Município de São Paulo,540000,48332.39,8.95,79221.81
13290104,CEF - Valor Bloqueado,0,0,0,0
13290105,Operação Urbana Faria Lima,0,0,0,0
13290106,Operações Interligadas,0,0,0,0
13290107,Operação urbana Anhangabaú,0,0,0,0
13290108,Fundo Especia Operação Urbana  Água Branca- FEAB,0,0,0,0
13290109,FEHIDRO - Fundo Estadual de Recursos Hidricos,0,0,0.00,0
13290110,Programa Nacional de Alimentação escolar. PNAE/FNDE,960000,79623.82,8.29,201165.14
13290111,Convênio PMSP- Ministério da Integração Nacional- SEDEC,0,0,0,0
13290112,Contribuição para o Custeio do Serviço de Iluminação Pública-COSIP/FUNDIP,3579500,161582.51,4.51,296390.95
13290113,lncentivo p / a Ateção á  Saúde no Sistema Penitenciário SUS/FNS,1000,0,0,0
13290114,Programa Nacional de Alimentação Escolar-PNAE-Creche-SEMAB-FNDE,"130,000,00",0,0,0
13290115,Plano Municipal de Qualificação Social e Profissional PNQ/TEM,0,0,0.00,0.00
13290116,Projetos Municipais de Expansão da Saúde da Familia- Proesf- FNS/FMS (FUMDES),182000,0,0,0
13290119,Programa Sócio-Educativo em Meio Aberto- Espaço Amigo - SAS,0,0,0,0
13290120,Programa de Assistência Farmacêutica Básica do Estado de São Paulo - Dose Certa,0,0,0,0
13290121,Programa PPD - Segmento Pessoa com Deficiência- SAS,0,0,0,0
13290122,Convênio n.º 80007/03- FNDE/MEC- Educação Pré-Escolar,0,0,0.00,0
13290123,Convênio n.º 804142/03 FNDE/MEC- Ensino Fundamental,0,0,0,0
13290124,Convenio n.º 808065/03- FNDE/MEC- Educação de Jovons e Adultos,0,0,0,0
13290125,Fundo Especial de Despesas da Camara Municipal de São Paulo,887900,0,0,0.00
13290127,Programa de Reestruturação Urbana. Sistema Viário Jacu-Pêssego/Ministério das  Cidades/CEF,0,0,0,0
13290128,Convênio n.º  816169/2003-FNDE/MEC Educação Especial/Curso de Capacitação  de Docentes,0,0,0,0.00
13290129,Convênio n.º  820005/2003 - FNDE/MEC - Ensino Fundamental/Formação Continuada de Docentes da 5.ª á 8.ª séries,0,0,0.00,0.00
13290130,Convênio n.º 828118/2003. FNDE/MEC- Curso de Alfabetização de Jovens e Adultos,0,0,0,0
13290131,FMAS - Projeto Restaurante Escola,150000,1414963.3,943.31,1414963.3
13290132,Programa Morar Melhor- Contrato n.º 015 7896.38/2003. Ministério das Cidades/ CEF,0,0,0,0
13290133,Centro Municipal de Educação T ecnológica - Convenio MEC/CEFET-SP,20000,4093.31,20.47,4936.52
13290134,Programa @ Lis/Aliança para a Sociedade da lnformação - SMCIS,0,15842.44,0,36062.6
13290135,PMSP/SMRI Saúde Pública,0,0,0.00,0
13290136,Proteção Socia Básica/FMAS,312100,559.76,0.18,17933.56
13290137,Proteção Social Especia UFMAS,115700,1292.66,1.12,27.272.35
13290138,Programa Brasil Potência Esportiva,190000,0,0,0
13290139,Esporte Solidário,0.00,0.00,0.00,0.00
13290140,Ministério do Esporte/CEFx SEME,167000,0,0.00,0
13290141,PMSP/SAS/FMAS,342000,56.638.97,16.56,232507.26
13290142,Convênio MEC/FNDE- Assistência Financeira a Programas e Projetos Educacionais,286600,1.395.403.81,486.88,1538015.08
13290143,Radial Leste ,0,0,0,13141.82
13290144,Programa Nacional de Apoio ao Transporte do  Escolar- PNATE,0,29047.44,0,29047.44
13290145,"Programa URB-AL, Rede no 10","o,oo",0,0.00,0
13290146,Média e Alta Complexidade Vigilância Sanitária. MAC - FNS/FMS,0,0,0,0.00
13290147,Programa Rede Solidária de Restaurante Populares-PMSP/SEMAB/MDS,0,0,0,0
13290148,Programa Banco Municipal de Alimentos- PMSP/SEMAB/MDS,0,0,0,0
13290149,Programa URB-AL. Projeto Comum R7.A343,0,0,0,0
13290150,Secretaria de Estado da Saúde 'SMS/FMS,557000,0,0,5835.01
13290151,Programa URB-AL - Projeto Comum R3b1-04 . Observatórios Locais da Democracia Participativa,9000,6474.82,71.94,6.474.82
13290152,Programa Centro de Especialidades Odontológicas - FNS/SMS,88000,33333.3,37.88,52619.89
13290153,FEPAC,57000,0,0,1075.38
13290154,FUMCAD,4554005,165996.63,3.65,489150.45
13290155,FUTUR,0,0,0,0
13290156,FUNCOR,91700,0,0,0.00
13290157,Fundo Constitucional da Educação,5003500,"6,610,82",0.13,6610.82
13290158,FMAS- Fundo Municipal de Assistência Social,6711600,281588.51,4.2,527.543.00
13290159,FEMA - Fundo Especial do Meio Ambiente e Desenvolvimento Sustentável,19100,0,0,2062.55
13290160,PETl-Programa de Erradicação do Trabalho Infantil FNAS/FMAS,235200,0.00,0,0
13290161,VIGISUS- Fortalecimento  da Gestão em Vigilância. MS-FNSSMS/FMS,96000,8811.67,9.18,8811.67
13290162,Convênio PMSP/SEPPx UNIAO,0,835.58,0,1648.11
13290163,Terminal de Cargas Fernão Dias/MT-DNIT/SP-MG,0,0,0,0
13290164,CONVÊNIO SSP/SP. SGM/CSU,916200,0,0,7986.3
13290165,Programa URB-AL - Projeto Comum R12 A1-04,2200,0,0,0
13290166,Outros Programas Financiados p /Transferências Fundo a Fundo,506000,66682.3,13.11,99721.27
13290167,Programa URB - AL,500,0.00,0,0
13290168,Convênio MTE/SPPEx PMSP/SMTRAB. ProJovem,0.00,0.00,0,0
13290169,Convênio SENASP,351200,0,0,0
13290170,Convênio CDHU x SEHAB,0,199437.58,0,349.085.76
13290171,Convênio City Jaraguá,0,0,0,121835.67
13290172,FUNCAP,0,0,0,0
13290173,Convênio SIURB- Estado,0,0,0,0
13290200,FUNDO DE APLICAÇÕES EM COTAS- RENDA FIXA,9958000,1493013.57,14.99,3889857.14
13290201,Transferências do Salário Educação  - Lei 10.832/03,9300000,1493013.57,16.05,3889857.14
13290202,ConvêniosMINC/SMC,658000,0,0,0
13300000,RECEITA DE CONCESSÕES E PERMISSÕES,45293300,365880.24,0.81,23751597.16
13390000,OUTRAS RECEITAS DE CONCESÕES PERMISSÕES,45293300,365880.24,0.81,23751597.16
13399900,OUTRAS RECEITAS DE CONCESÕES PERMISSÕES,45293300,365830.24,0.81,23751597.16
13399901,"Rendas de Mercados,Feiras e Frigorificos-(ant.Mat) - Sistema Velho",230700,0,0,0
13399902,"Rendas de Mercados,Feiras e Frigorificos(ant.Mat,)- Sistema novo",10588600,181199.01,1.71,490805.87
13399903,Estádio Municipal,4932600,92.633.90,1.88,341486.51
13399904,Autódromo I,0,0,0,0
13399905,Kadódromo,0,0,0,0
13399906,Centros Esportivos- Unidades Educacionais e Esportivas,193100,10480,5.43,21480.75
13399907,Centros Culturais . Teatros/PMSP,0,0,0,0
13399908,Centros Culturais - Teatros/FEPAC,715000,3156.5,0.44,103195.06
13399909,Permissão  de Atividades Ambulantes,1302600,0,0,130.97
13399910,Tarifa de Pedágio p / Ingresso nas Ruas de Pedestres,472800,25089,5.31,45273.9
13399912,Concessão  para Exploração  Comercial em Estacionamento Subterrâneo - SMT,15300,1210.65,7.91,2732.47
13399913,"lmplantação ,instalação e Passagem de Equipamentos Urbanos- CONVIAS",1109000,52111.18,4.7,109116.59
13399914,Outorga Onerosa - Prestação  de Serviços de Limpeza Urbana em Regime Público,0,0,0,0
13399915,Contratos de Concessão e Permissão dos Servigos de Limpeza Urbana - FMLU,25.611.000.00,0,0,22637375.03
13399916,Outras Receitas de Concessões e Permissões,22600,0,0,0
13399917,Unidades Esportivas da SEME,100000,0,0,0.00
13400100,COMPENSAÇÕES  FINANCEIRAS,300,0,0,0
13400100,UTILIZAÇÃO DOS  RECURSOS HÍDRICOS- ITAIPU,300,0.00,0,0.00
13900000,OUTRAS RECEITAS PATRIMONIAIS,2529100,779.25,0.03,554986.15
13900100,REMUNERAÇÕES DE RECEITAS,2529100,779.25,0.03,554.986.15
13900101,Remunerações Diversas,2529100,779.25,0.03,554980.15
13900200,REMUNERAÇÃO  DOS BANCOS ARRECADADORES,0,0,0,0.00
13900201,"Banco ltad S/A,",0,0,0,0
13900203,"Banco Bradesco S/A,",0,0,0,0
15000000,RECEITA INDUSTRIAL,520700,0,0,0.00
15200000,RECEITA DA INDÚSTRIA DE TRANSFORMAÇÃO,520700,0,0,0
15202000,RECEITA DA INDÚSTRIA QUÍMICA,0,0,0,0
15202800,RECEITA DA USINA DE TRATAMENTO DE LIXO,520700,0,0,0
15202801,Subprodutos da Limpeza Púlblica,520700.9,0,0,0
15202900,RECEITA DA ÍNDÚSTRIA  DE EDITORIAL E GRÁFICA,0,0,0,0
15202901,Gráfica Municipal,0,0,0,0
16000000,RECEITA DE SERVIÇÕS,131447300,9376695.35,7.13,19043370.44
16000100,SERV|ÇOS  COMERCIAIS,0,0,0,0
16000106,"Serviço de Comercialização de Produtos,Dados e Materiais de Informática",0,0.00,0,0
16000500,SERVIÇOS DE SAÚDE,100063000,8056922.65,8.05,16232280.34
16000501,Serviços Hospitalares- FMS,33445000,2952842.72,8.83,5909238.49
16000502,Serviços de Registro de Análise e de Controle de Produtos Sujeitos a Normas de Vigilância Sanitária- FMS,1000,0,0,0
16000503,Serviços Radiológicos e Laboratoriais - FMS,19834000,"1.604,089,22",8.09,3230681.1
16000504,Serviços Ambulatorlais- FMS,46782000,3499990.71,7.48,7092360.75
16000599,Outros Serviços de Saúde. FMs,1000,0,0,0.00
16001300,SERVIÇOS ADMINISTRATIVOS,22641200,1016224.43,4.49,2033532.45
16001301,Serviços de lnscrição em ConcursosPúblicos,60400,0,0,0
16001302,Serviços de Venda de Editais,1200,114.95,9.58,665.85
16001304,Serviços de Expedição de Certificados,137700,68834.19,49.99,123214.43
16001307,Serviços de Fotocópias ou Cópias Heliográficas,12300,28363.61,230.6,58435.76
16001308,Serviços de Expedientes,2162600,96043.71,4.44,197828
16001311,Requisição de Serviços - FISC,300.00,0.00,0,0
16001312,Remoção e Estadia-DSV,4868900,0,0,0.00
16001313,Autuação de Processos - DAMSF,694000,69618.2,10.03,150670
16001314,Autuação de Processos - G. A. 99-T,2097700,8790.5,0.42,18678.1
16001315,"Análise de Estudo , Planos, Projetos e Relatórios - DECONT",8000,0,0,0
16001316,"Desinterditação, Fiscalização e Vístoria - DECONT",5100,287.2,5.63,574.4
16001317,Emissão de Licenças Ambientais - DECONT,0,0.00,0,0
16001318,Serviços de Transporte do DTP,8014900,614980.52,7.67,1.157.681.01
16001319,Receita de Registros de Profíssionais e Firmas,5900,1394.2,23.63,"3,923,00"
16001320,Termo de Pemissão de Uso -TPU,562600,119370.65,21.22,"302,060,26"
16001323,licença. Especial de Trãnsito de Produtos Perigosos - SMT,41200,202.2,0.49,252.8
16001324,Panfletagem - Programas Sociais - PMSP,3030100,0,0.00,0
16001325,Cadastramento de Ambulantes,0,0,0.00,0
16001326,Termo de Permissão de Uso - CONVIAS,760200,2056.9,0.27,4577.1
16001327,Aprovação de Projetos - CONVIAS,"178,100,00","6,167,40",3.46,14971.9
16001400,Serviços de lnspeção e Fiscalização,97600,23447.38,24.02,100367.71
16001900,SERVIÇOS RECREATIVOS E CULTURAIS,0,0.00,0,0.00
16002800,Serviços de Geoprocessamento,0,0,0.00,0
16002900,SERVIÇOS DE CADASTRAMENTO.DE FORNECEDORES,0,0.00,0,0
16004300,"SERVIÇOS DE COLETA. TRANSPORTE, TRATAMENTO E DESTINO FINAL DE RESÍDUOS SÓLIDOS",2393600,210061.95,8.78,482756.55
16004301,Coleta de Resíduos Sólidos - Saude - LIMPURB,2393600,210061.95,8.78,482756.55
16009900,OUTROS SERVIÇOS,6251900,70038.94,1.12,194433.39
16009919,Outros Serviços ,6251900,70.038.94,1.12,194433.39
17000000,TRANSFERÊCIAS  CORRENTES,7433801800,673329583.03,9.06,1746593239.87
17200000,TRANSFERÊNCIAS INTERGOVERNAMENTAIS,7170652600,672024417.7,9.37,1737757896.44
17210000,TRANSFERÊNCIAS DA UNIÃO,"1,442.545,400,00","103,989.306,95",7.21,225590700.2
17210100,PARTICIPAÇÃO NA RECEITA DA UNIÃO,116492400,9.916.733.38,8.51,19397760.97
17210102,Cota-Parte do Fundo de Participação  dos minicípios,"115.894,000,00",9904508.64,8.55,19317769.45
17210105,Cota-parte do lmposto s/ a Propriedade Territorial Rural,585100,10721.2,1.83,77715.23
17210132,"Cota-parte do lmposto s/ Operações de Crédito, Câmbio e Seguro,ou  Relativas a Titulos ou Valores Mobiliários - Conercialização do ouro",13300,1503.54,11.30,2276.29
17210900,OUTRAS TRANSFERÊNCIAS DA UNIÃO,0,0,0,0
17212200,TRANSFERÊNCIA DA COMPENSAÇÃO  FINANCEIRA PELA EXPLORAÇÃO DE RECURSOS NATURAIS,697500,80772.71,11.58,153043.12
17212211,Cota-parte da Compensação  Financeira de Recursos Hidricos,259700,28881.98,11.12,60492.88
17212220,Cota-parte da Compensação Financeira de Extração Mineral - CFEM,82100,19491.42,23.74,28220.89
17212230,"Cota-Parte Royalties - Compensação Financeira pela Produção  de Petróleo - Lei n"" 7990/89",355700,32399.31,9.11,63879.35
17212240,"Cota-Parte Royalties pelo Excedente da Produção de Petróleo - Lei n.º  9178197, artigo 49, I e ll",0,0,0,0
17212250,"Cota-Parte Royalties pela Participação Especial - Lei n'9478/97, artigo 50",0,0,0,0
17213300,TRANSFERÊNCIA DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE.SUS - REPASSES FUNDO A FUNDO,973.422.000.00,69455995.84,7.14,"143.823,396,02"
17213301,Piso da Atenção Básica/PAB/FUNDES,235952000,19973568.05,8.47,39416136.1
17213302,Piso de Atenção PAB Epidemologia e Controle de Doênças/FUMDES,28862000,2185605.65,7.57,4356211.3
17213303,Co-Financiarnento Hospitais Municípais/FUMDES,394000,3.396.39,0.86,13496.83
17213304,Programa Alcool e Drogas/SUS,1000,0,0,0
17213305,SMS Centro de Referência em Saúde do Trabalhador/FUMDES,3300000,0,0,0.00
17213306,Programa Internacional de HIV AIDS/DST,6141000,317666.95,5.17,1319667.8
17213307,Gestão Plena de Sistema Municípal /FUMDES,656230000,46696958.8,7.12,95098050.54
17213308,Custeio dos Centros de Atendimento Psicossocial/FNS,1000,0,0,0
17213309,Incentivo p/ a Atenção  a Saúde no Sistema Penitênciário - SUS/FNS,1000,0,0,0
17213310,Proietos minicipais de Expanssão da Saúde da Familia - Proesf - FNS/FMS(FUMDES),1000000,0,0,0
17213311,Média e Altra Complexidade Vigilância Sanitária - MAC - FNS/FMS,3922000,0,0.00,1138331.77
17213313,Programa Farmácia Popular do Brasil - FNS/FMS,"5.210,000,00",160000,3.07,320000
17213314,Programa Centros de Especialidades Odontológicas - FNS/FMS,4114000,118800,2.89,237.600.00
17213315,VIGISUS - Fortalecimento da Gestão em vigilância - MS/FNS - SMS/FMS,2655000,0,0.00,0
17213399,Outros Programas Financiados  p/ Transferências Fundo a Fundo,25639000,0.00,0,1923901.68
17213400,TRANSFERÊNCIAS DE RECURSOS DO FUNDO NACIONAL DE ASSISTÊNCIA SOCIAL. FNAS,15800000,1077886.09,6.82,1831728.43
17213401,Sociedade Pestalozzi - FNAS/FMAS,0,0,0,0
17213402,Programa de Atenção  Continuada - PAC - FMS/SAS,2100000,0,0,0
17213403,Projeto Agente Jovem de Desenvolvimento Social e Humano - FNAS,5500000,369416.01,6.55,720832.18
17213404,Programa Sentinela - FNAS/FMAS,1100000,119200,10.84,119200
17213405,FMAS - Fundo Municipal de Assistência Social,0,0,0,0
17213406,NAF - Fundo de Apoio á Familia - FMS/FMAS,0,0,0.00,0
17213407,PETI - Programa de Erradicação do Trabalho Infantil - FNAS/FMASPMSP/SAS/FMAS,3100000,73320,2.37,169600
17213408,PMSP/SAS/FMAS,4000000,512950,12.82,786096.25
17213409,PMSP/SMADS/F\MAS - PAC II POP RUA,0,12000,0,36000
17213500,TRANSFERÊNCIAS DE RECURSOS DO FUNDO NACIONAL DO DESENVOLVIMENTO DA EDUCAÇÃO - FNDE,272930000,23457918.93,8.59,60384771.66
17213501,Tranferências do Salário Educação (Lei n' 1083/03),"250.270,000,00",23457918.93,9.37,59318426.31
17213502,Transferências Diretas do FNDE referentes ao Programa Dinheiro Direto na Escola PDDE,3360000,0,0,0
17213503,Transferências Diretas do FNDE referentes ao Programa Nacional de Alimentação Escolar - PNAE,4900000,0,0,0
17213504,Transferências Diretas do FNDE referentes ao Programa Nacional de Apoio ao Transporte do Escolar - PNATE,300.000.00,0,0,0
17213599,Outras Transferências Diretas do Fundo Nacional doDesenvolvimento da Educação - FNDE ( MEC/FNDE - Assisstência Financeira a Programas e Projetos Educacionais),14100000,0.00,0.00,1066345.35
17213600,Transferência Financeira do ICMS - Desoneração - LC n.º  87/96,35914300,0,0,0
17219900,OUTRAS TRANSFERÊNCIAS DA UNIÃO,27288700,0.00,0.00,0
17219902,Cadastramento único p/ Programas Sociais,3345700,0,0,0
17219903,Programa Morar Melhor - Contrato n.º  0157896-38/2003 - Ministério das Cidades,0,0,0.00,0
17219904,FEMA - Fundo Especial do Meio Ambiente e Denvolvimento Sustentável,0,0,0,0
17219905,Projeto Núcleos  de lncentivo á  Economia Solédaria - FMAS,0,0,0,0
17219906,Mnistério das Cidades/CEF x SMSP,0,0,0,0
17219999,Demais Transferências da União,23943000,0,0,0
17220000,TRANSFERÊNCAS DOS ESTADOS,4729447100,487870397.56,10.32,1335217756.89
17220100,PARTICIPAÇÃO NA RECETTA DOS ESTADOS,4728565100,487870897.56,10.32,1335217756.89
17220101,Cota-Parte do ICMS,3445698400,262943158.85,7.63,588670243.3
17220102,Cota-Parte do IPVA,1234243900,222210927.99,18,736081169.16
17220104,Cota-Parte do lPl s/ Exportação,32509900,2716810.72,8.36,6474612.42
17220113,Cota-parte da Contribuição de intervenção  no -Doninio Econômico (CIDE),16112900,0,0,3991732.01
17229900,OUTRAS TRANSFERÊNCIAS DOS ESTADOS.,882000,0,0,0
17229901,FUMDES,0.00,0,0,0
17229902,FUMCAD,400000,0,0,0
17229903,FUTUR,0.00,0,0,0
17229904,FEHIDRO- Fundo Estadual De Recursos Hidricos,482000,0,0,0
17229905,FMAS,0.00,0,0,0.00
17229906,FEMA,0,0,0.00,0
17229907,Programa Renda Cidadã,0,0.00,0,0.00
17229999,Outras Transferêrcias,0,0,0,0
17240000,OUTRAS.TRANSFERÊNCIAS MULTIGOVERMNAMENTAIS,998660100,80164213.19,8.03,176949439.35
17240100,TRANSFERÊNCIAS DE RECURSOS DO FUNDO DE MANUTENÇÃO E DESESEN{VOLVIMENTO DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO  DOS PROFISSIONAIS DA EDUCAÇÃO-FUNDEB,0,80164213.19,0,176.949.439.35
17240101,Da União,0,7759205.21,0,"14,992.640,94"
17240102,Do Estado,0,72405007.98,0,161958796.94
17140200,TRANSFERÊNCIAS DE RECURSOS DA COMPLEMENTAÇÃO DA UNIÃO AO FUNDO DE MANUTENÇÃO E DESENVOLVIMENTO DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO  DOS PROFISSIONAIS DA EDUCAÇÃO-FUNDEB,0,0,0,0
17249900,OUTRAS TRANSFERENCIAS MULTIGOVERNATAMENTAIS,998660100,0.00,0,0
17249901,Fundo Constitucional da Educação - União,95973500,0,0.00,0.00
17249902,Fundo Constitucional da Educação - Estado,902686600,0,0,0
17300000,TRANSFERÊNCIAS DE INSTITUIÇOES  PRIVADAS,0,0,0,0
17300100,TRANSFERÊNCIAS DE INSTITUIÇOES  PRIVADAS,0,0,0.00,0.00
17300101,Doações e Legados PJ - FUNCAP,0,0,0,0
17400000,TRANSFERÊNCISS DO EXTERIOR,15000,18039.74,120.26,18039.74
17400100,TRANSFERÊNCIAS DE PESSOAS FISÍCAS E JURÍDICAS DO EXTERIOR,15000,18039.74,120.26,18039.74
17400104,FMAS,0,0.00,0,0.00
17400107,Programa URFAL rede n.º 10,0.00,0,0,0.00
17400110,FMAS-Projeto Restaurante Escola,0,0,0,0.00
